00:01:16,1
00:16:16,2
00:31:16,1
00:46:16,2
01:01:16,1
01:16:16,2
01:31:16,1
01:46:16,2
02:01:16,1
02:16:16,2
02:31:16,1
02:46:16,2
03:01:16,1
03:16:16,2
03:31:16,1
03:46:16,2
04:01:16,1
04:16:16,2
04:31:16,1
04:46:16,2
05:01:16,1
05:16:16,2
05:31:16,1
05:46:16,2
06:01:16,1
06:16:16,2
06:31:16,1
06:46:16,2
07:01:16,1
07:16:16,2
07:31:16,1
07:46:16,2
08:01:16,1
08:16:16,2
08:31:16,1
08:46:16,2
09:01:16,1
09:16:16,2
09:31:16,1
09:46:16,2
10:01:16,1
10:16:16,2
10:31:16,1
10:46:16,2
11:01:16,1
11:16:16,2
11:31:16,1
11:46:16,2
12:01:16,1
12:16:16,2
12:31:16,1
12:46:16,2
13:01:16,1
13:16:16,2
13:31:16,1
13:46:16,2
14:01:16,1
14:16:16,2
14:31:16,1
14:46:16,2
15:01:16,1
15:16:16,2
15:31:16,1
15:46:16,2
16:01:16,1
16:16:16,2
16:31:16,1
16:46:16,2
17:01:16,1
17:16:16,2
17:31:16,1
17:46:16,2
18:01:16,1
18:16:16,2
18:31:16,1
18:46:16,2
19:01:16,1
19:16:16,2
19:31:16,1
19:46:16,2
20:01:16,1
20:16:16,2
20:31:16,1
20:46:16,2
21:01:16,1
21:16:16,2
21:31:16,1
21:46:16,2
22:01:16,1
22:16:16,2
22:31:16,1
22:46:16,2
23:01:16,1
23:16:16,2
23:31:16,1
23:46:16,2
